Row,Write,kill API,chdir API,Accept,B/M/M,Connect,network_http,clone API,Rename,Read,postgresql,S/P,execve API,Label
427,1936,0,0,20,108,0,976,0,0,2930,0,1924,0,1
428,1982,0,0,20,110,0,999,0,0,3003,0,1968,0,1
429,974,0,0,10,84,0,491,0,0,1491,0,970,0,1
430,1885,0,0,20,126,0,959,0,0,2859,0,1870,0,1
431,1974,0,0,20,134,0,1004,0,0,2993,0,1960,0,1
432,980,0,0,10,84,0,499,0,0,1489,0,976,0,1
433,1954,0,0,20,90,0,985,0,0,2948,0,1934,0,1
434,1978,0,0,20,86,0,998,0,0,2985,0,1962,0,1
435,972,0,0,10,84,0,490,0,0,1488,0,962,0,1
436,1932,0,0,20,132,0,982,0,0,2930,0,1916,0,1
437,1971,0,0,20,138,0,1003,0,0,2988,0,1956,0,1
438,984,0,0,10,84,0,497,0,0,1506,0,976,0,1
439,1928,0,0,20,90,0,973,0,0,2910,0,1920,0,1
440,1984,0,0,20,114,0,1008,0,0,2997,0,1968,0,1
441,988,0,0,10,84,0,502,0,0,1501,0,980,0,1
442,1916,0,0,20,112,0,966,0,0,2902,0,1904,0,1
443,1988,0,0,20,110,0,1003,0,0,3010,0,1976,0,1
444,972,0,0,8,62,0,491,0,0,1475,0,968,0,1
445,1965,0,0,18,90,0,992,0,0,2964,0,1956,0,1
446,1972,0,0,18,108,0,1002,0,0,2977,0,1954,0,1
447,978,0,0,10,106,0,497,0,0,1499,0,970,0,1
448,1928,0,0,20,108,0,973,0,0,2923,0,1914,0,1
449,1978,0,0,20,114,0,998,0,0,2995,0,1964,0,1
450,981,0,0,10,62,0,496,0,0,1488,0,974,0,1
451,1946,0,0,20,112,0,990,0,0,2938,0,1934,0,1
452,1980,0,0,20,94,0,998,0,0,2987,0,1964,0,1
453,970,0,0,10,64,0,489,0,0,1470,0,962,0,1
454,1968,0,0,20,90,0,992,0,0,2969,0,1952,0,1
455,1928,0,0,20,110,0,981,0,0,2911,0,1914,0,1
456,964,0,0,10,106,0,491,0,0,1478,0,958,0,1
457,1952,0,0,20,112,0,984,0,0,2958,0,1947,0,1
458,1964,0,0,20,112,0,990,0,0,2976,0,1948,0,1
459,980,0,0,10,62,0,495,0,0,1487,0,972,0,1
460,1946,0,0,20,90,0,982,0,0,2937,0,1930,0,1
461,1980,0,0,20,118,0,1007,0,0,2989,0,1968,0,1
462,980,0,0,10,108,0,499,0,0,1500,0,972,0,1
463,1939,0,0,18,96,0,978,0,0,2929,0,1924,0,1
464,1937,0,0,20,96,0,977,0,0,2922,0,1920,0,1
465,978,0,0,10,62,0,493,0,0,1486,0,970,0,1
466,1934,0,0,20,134,0,985,0,0,2934,0,1920,0,1
467,1978,0,0,20,110,0,997,0,0,2997,0,1962,0,1
468,976,0,0,10,84,0,493,0,0,1493,0,974,0,1
469,1958,0,0,20,84,0,987,0,0,2952,0,1944,0,1
470,1976,0,0,20,90,0,996,0,0,2981,0,1958,0,1
471,982,0,0,10,86,0,500,0,0,1492,0,974,0,1
472,1901,0,0,20,90,0,960,0,0,2866,0,1886,0,1
473,1984,0,0,20,90,0,999,0,0,2992,0,1968,0,1
474,978,0,0,10,84,0,493,0,0,1497,0,970,0,1
475,1920,0,0,20,132,0,977,0,0,2913,0,1906,0,1
476,1978,0,0,20,130,0,1005,0,0,2999,0,1962,0,1
477,970,0,0,10,86,0,494,0,0,1474,0,962,0,1
478,1968,0,0,20,94,0,993,0,0,2969,0,1952,0,1
479,1968,0,0,20,100,0,993,0,0,2969,0,1952,0,1
480,976,0,0,10,86,0,496,0,0,1483,0,968,0,1
481,1891,0,0,20,140,0,963,0,0,2867,0,1878,0,1
482,1976,0,0,20,108,0,996,0,0,2992,0,1958,0,1
483,994,0,0,10,84,0,502,0,0,1521,0,990,0,1
484,1910,0,0,20,88,0,966,0,0,2885,0,1900,0,1
485,1994,0,0,20,112,0,1013,0,0,3012,0,1978,0,1
486,962,0,0,10,88,0,489,0,0,1465,0,956,0,1
487,1960,0,0,20,114,0,988,0,0,2970,0,1965,0,1
488,1962,0,0,20,108,0,989,0,0,2973,0,1956,0,1
489,1021,0,0,12,68,0,516,0,0,1550,0,1018,0,1
490,1878,0,0,20,114,0,956,0,0,2836,0,1864,0,1
491,1994,0,0,22,118,0,1013,0,0,3012,0,1978,0,1
492,986,0,0,10,84,0,497,0,0,1508,0,986,0,1
493,1922,0,0,20,108,0,969,0,0,2913,0,1902,0,1
494,1984,0,0,20,114,0,1000,0,0,3006,0,1966,0,1
495,970,0,0,10,108,0,494,0,0,1487,0,960,0,1
496,1970,0,0,20,140,0,1002,0,0,2987,0,1952,0,1
497,1892,0,0,20,114,0,954,0,0,2866,0,1880,0,1
498,982,0,0,10,62,0,495,0,0,1489,0,978,0,1
499,1946,0,0,20,94,0,981,0,0,2936,0,1928,0,1
500,1980,0,0,20,108,0,1006,0,0,2989,0,1968,0,1
501,996,0,0,10,106,0,507,0,0,1526,0,992,0,1
502,1889,0,0,20,112,0,953,0,0,2863,0,1876,0,1
503,1995,0,0,20,114,0,1006,0,0,3022,0,1982,0,1
504,972,0,0,10,64,0,490,0,0,1477,0,966,0,1
505,1940,0,0,18,140,0,988,0,0,2943,0,1928,0,1
506,1926,0,0,20,132,0,979,0,0,2921,0,1906,0,1
507,980,0,0,10,84,0,494,0,0,1498,0,970,0,1
508,1950,0,0,20,88,0,984,0,0,2943,0,1936,0,1
509,1980,0,0,20,88,0,998,0,0,2987,0,1962,0,1
510,990,0,0,10,62,0,499,0,0,1502,0,982,0,1
511,1916,0,0,20,134,0,975,0,0,2906,0,1898,0,1
512,1988,0,0,20,110,0,1002,0,0,3012,0,1972,0,1
513,976,0,0,10,86,0,492,0,0,1493,0,966,0,1
514,1888,0,0,20,116,0,960,0,0,2853,0,1872,0,1
515,1974,0,0,20,140,0,1003,0,0,2993,0,1960,0,1
516,982,0,0,10,84,0,500,0,0,1492,0,976,0,1
517,1932,0,0,20,110,0,976,0,0,2927,0,1924,0,1
518,1982,0,0,20,96,0,999,0,0,2990,0,1972,0,1
519,972,0,0,10,84,0,490,0,0,1488,0,964,0,1
520,1936,0,0,20,112,0,986,0,0,2926,0,1922,0,1
521,1972,0,0,20,140,0,1003,0,0,2990,0,1958,0,1
522,990,0,0,10,84,0,500,0,0,1515,0,982,0,1
523,1908,0,0,20,110,0,965,0,0,2894,0,1896,0,1
524,1990,0,0,20,112,0,1012,0,0,3006,0,1976,0,1
525,972,0,0,10,84,0,494,0,0,1477,0,964,0,1
526,1952,0,0,20,110,0,992,0,0,2947,0,1936,0,1
527,1970,0,0,20,114,0,993,0,0,2983,0,1958,0,1
528,982,0,0,10,84,0,496,0,0,1503,0,978,0,1
529,1926,0,0,20,108,0,972,0,0,2918,0,1910,0,1
530,1982,0,0,20,112,0,1008,0,0,2994,0,1970,0,1
531,979,0,0,10,106,0,498,0,0,1500,0,974,0,1
532,1926,0,0,20,106,0,971,0,0,2919,0,1920,0,1
533,1978,0,0,20,116,0,997,0,0,2997,0,1962,0,1
534,974,0,0,10,62,0,492,0,0,1478,0,966,0,1
535,1950,0,0,20,116,0,992,0,0,2943,0,1932,0,1
536,1974,0,0,20,122,0,1004,0,0,2978,0,1964,0,1
537,960,0,0,8,62,0,484,0,0,1458,0,956,0,1
538,1962,0,0,18,94,0,989,0,0,2960,0,1954,0,1
539,1962,0,0,18,112,0,997,0,0,2962,0,1950,0,1
540,993,0,0,10,106,0,506,0,0,1521,0,986,0,1
541,1898,0,0,20,112,0,957,0,0,2877,0,1880,0,1
542,1992,0,0,20,116,0,1005,0,0,3018,0,1980,0,1
543,998,0,0,10,62,0,503,0,0,1514,0,992,0,1
544,1914,0,0,20,90,0,965,0,0,2885,0,1900,0,1
545,1998,0,0,20,108,0,1015,0,0,3016,0,1980,0,1
546,972,0,0,10,108,0,495,0,0,1488,0,968,0,1
547,1972,0,0,20,98,0,994,0,0,2975,0,1956,0,1
548,1910,0,0,18,88,0,964,0,0,2882,0,1902,0,1
549,984,0,0,10,62,0,496,0,0,1495,0,976,0,1
550,1916,0,0,20,132,0,975,0,0,2902,0,1900,0,1
551,1984,0,0,20,132,0,1008,0,0,3008,0,1970,0,1
552,986,0,0,10,84,0,497,0,0,1507,0,976,0,1
553,1940,0,0,20,90,0,978,0,0,2926,0,1924,0,1
554,1984,0,0,20,92,0,1001,0,0,2993,0,1964,0,1
555,978,0,0,10,86,0,499,0,0,1484,0,970,0,1
556,1978,0,0,20,112,0,998,0,0,2995,0,1970,0,1
557,1898,0,0,20,98,0,957,0,0,2864,0,1884,0,1
558,984,0,0,10,84,0,496,0,0,1506,0,974,0,1
559,1914,0,0,20,108,0,973,0,0,2890,0,1904,0,1
560,1984,0,0,20,138,0,1009,0,0,3008,0,1972,0,1
561,984,0,0,10,84,0,502,0,0,1495,0,978,0,1
562,1934,0,0,20,116,0,976,0,0,2928,0,1918,0,1
563,1984,0,0,20,84,0,1000,0,0,2993,0,1970,0,1
564,974,0,0,10,86,0,496,0,0,1480,0,970,0,1
565,1928,0,0,18,112,0,981,0,0,2912,0,1922,0,1
566,1936,0,0,20,132,0,985,0,0,2933,0,1928,0,1
567,988,0,0,10,84,0,500,0,0,1512,0,980,0,1
568,1922,0,0,20,108,0,969,0,0,2912,0,1912,0,1
569,1988,0,0,20,88,0,1002,0,0,3001,0,1978,0,1
570,990,0,0,10,84,0,504,0,0,1504,0,984,0,1
571,1918,0,0,20,90,0,967,0,0,2894,0,1904,0,1
572,1988,0,0,20,114,0,1003,0,0,3011,0,1988,0,1
573,968,0,0,10,64,0,489,0,0,1469,0,962,0,1
574,1912,0,0,20,122,0,972,0,0,2886,0,1898,0,1
575,1970,0,0,20,122,0,1002,0,0,2974,0,1960,0,1
576,992,0,0,10,106,0,505,0,0,1518,0,986,0,1
577,1902,0,0,20,114,0,959,0,0,2883,0,1886,0,1
578,1990,0,0,20,112,0,1003,0,0,3015,0,1974,0,1
579,992,0,0,10,62,0,501,0,0,1505,0,984,0,1
580,1916,0,0,20,126,0,974,0,0,2891,0,1898,0,1
581,1990,0,0,20,112,0,1012,0,0,3004,0,1978,0,1
582,970,0,0,10,64,0,490,0,0,1473,0,962,0,1
583,1916,0,0,20,98,0,967,0,0,2890,0,1908,0,1
584,1972,0,0,20,120,0,1002,0,0,2977,0,1960,0,1
585,985,0,0,10,106,0,502,0,0,1509,0,980,0,1
586,1914,0,0,20,110,0,965,0,0,2901,0,1904,0,1
587,1984,0,0,20,112,0,1001,0,0,3006,0,1968,0,1
588,992,0,0,10,62,0,501,0,0,1505,0,984,0,1
589,1924,0,0,20,98,0,970,0,0,2903,0,1904,0,1
590,1991,0,0,20,110,0,1012,0,0,3005,0,1982,0,1
591,976,0,0,10,106,0,497,0,0,1494,0,970,0,1
592,1908,0,0,20,90,0,962,0,0,2877,0,1888,0,1
593,1976,0,0,20,90,0,997,0,0,2981,0,1958,0,1
594,990,0,0,10,62,0,500,0,0,1504,0,982,0,1
595,1914,0,0,20,128,0,974,0,0,2903,0,1902,0,1
596,1990,0,0,20,110,0,1003,0,0,3015,0,1972,0,1
597,982,0,0,10,84,0,495,0,0,1501,0,976,0,1
598,1945,0,0,20,90,0,981,0,0,2934,0,1932,0,1
599,1982,0,0,20,92,0,1000,0,0,2989,0,1964,0,1
600,978,0,0,12,92,0,498,0,0,1489,0,986,0,1
601,1926,0,0,22,116,0,971,0,0,2919,0,1926,0,1
602,1978,0,0,22,96,0,997,0,0,2986,0,1982,0,1
603,982,0,0,10,84,0,495,0,0,1501,0,978,0,1
604,1921,0,0,20,110,0,977,0,0,2902,0,1902,0,1
605,1980,0,0,20,136,0,1007,0,0,3002,0,1964,0,1
606,996,0,0,10,84,0,507,0,0,1513,0,988,0,1
607,1908,0,0,20,112,0,962,0,0,2889,0,1896,0,1
608,1996,0,0,20,102,0,1006,0,0,3011,0,1978,0,1
609,982,0,0,10,84,0,500,0,0,1492,0,974,0,1
610,1930,0,0,20,114,0,981,0,0,2914,0,1912,0,1
611,1982,0,0,20,116,0,999,0,0,3001,0,1962,0,1
612,992,0,0,10,84,0,502,0,0,1519,0,984,0,1
613,1914,0,0,20,112,0,965,0,0,2900,0,1900,0,1
614,1992,0,0,20,90,0,1004,0,0,3007,0,1974,0,1
615,980,0,0,8,84,0,499,0,0,1489,0,978,0,1
616,1942,0,0,18,90,0,979,0,0,2929,0,1928,0,1
617,1980,0,0,18,112,0,998,0,0,2998,0,1968,0,1
618,986,0,0,10,62,0,497,0,0,1496,0,982,0,1
619,1926,0,0,20,120,0,980,0,0,2909,0,1910,0,1
620,1986,0,0,20,112,0,1010,0,0,2998,0,1970,0,1
621,992,0,0,10,106,0,505,0,0,1520,0,986,0,1
622,1900,0,0,20,110,0,958,0,0,2880,0,1890,0,1
623,1992,0,0,20,110,0,1004,0,0,3017,0,1976,0,1
624,962,0,0,8,84,0,489,0,0,1462,0,956,0,1
625,1964,0,0,18,108,0,998,0,0,2965,0,1958,0,1
626,1964,0,0,18,88,0,991,0,0,2963,0,1948,0,1
627,990,0,0,10,62,0,500,0,0,1502,0,980,0,1
628,1926,0,0,20,90,0,971,0,0,2906,0,1920,0,1
629,1990,0,0,20,118,0,1011,0,0,3004,0,1976,0,1
630,986,0,0,10,106,0,501,0,0,1511,0,976,0,1
631,1913,0,0,20,114,0,965,0,0,2899,0,1896,0,1
632,1986,0,0,20,108,0,1002,0,0,3009,0,1970,0,1
633,952,0,0,10,64,0,481,0,0,1447,0,944,0,1
634,1952,0,0,18,108,0,992,0,0,2947,0,1944,0,1
635,1954,0,0,20,142,0,993,0,0,2963,0,1942,0,1
636,994,0,0,10,106,0,505,0,0,1521,0,984,0,1
637,1912,0,0,20,92,0,965,0,0,2886,0,1904,0,1
638,1994,0,0,20,92,0,1006,0,0,3008,0,1980,0,1
639,990,0,0,10,62,0,500,0,0,1504,0,984,0,1
640,1912,0,0,20,132,0,972,0,0,2900,0,1904,0,1
641,1988,0,0,20,108,0,1002,0,0,3012,0,1974,0,1
642,968,0,0,10,86,0,488,0,0,1482,0,962,0,1
643,1966,0,0,20,98,0,992,0,0,2968,0,1948,0,1
644,1912,0,0,18,132,0,973,0,0,2900,0,1898,0,1
645,996,0,0,10,84,0,507,0,0,1513,0,986,0,1
646,1912,0,0,20,108,0,964,0,0,2896,0,1900,0,1
647,1996,0,0,20,86,0,1006,0,0,3011,0,1976,0,1
648,990,0,0,10,84,0,499,0,0,1515,0,984,0,1
649,1908,0,0,20,92,0,963,0,0,2882,0,1894,0,1
650,1990,0,0,20,134,0,1012,0,0,3017,0,1982,0,1
651,970,0,0,10,108,0,494,0,0,1487,0,968,0,1
652,1968,0,0,20,114,0,992,0,0,2982,0,1960,0,1
653,1902,0,0,20,96,0,961,0,0,2874,0,1894,0,1
654,984,0,0,10,84,0,501,0,0,1495,0,974,0,1
655,1920,0,0,20,114,0,978,0,0,2899,0,1916,0,1
656,1984,0,0,20,116,0,1000,0,0,3004,0,1974,0,1
657,994,0,0,10,84,0,501,0,0,1520,0,986,0,1
658,1912,0,0,20,108,0,964,0,0,2898,0,1898,0,1
659,1992,0,0,20,96,0,1004,0,0,3007,0,1978,0,1
660,970,0,0,10,108,0,494,0,0,1487,0,964,0,1
661,1970,0,0,20,116,0,993,0,0,2985,0,1958,0,1
662,1900,0,0,20,112,0,958,0,0,2876,0,1888,0,1
663,994,0,0,10,62,0,501,0,0,1506,0,988,0,1
664,1914,0,0,20,106,0,973,0,0,2890,0,1908,0,1
665,1992,0,0,20,114,0,1013,0,0,3007,0,1978,0,1
666,988,0,0,10,106,0,503,0,0,1514,0,978,0,1
667,1910,0,0,20,110,0,964,0,0,2893,0,1896,0,1
668,1986,0,0,20,116,0,1002,0,0,3010,0,1968,0,1
669,968,0,0,10,108,0,492,0,0,1484,0,960,0,1
670,1948,0,0,18,132,0,990,0,0,2954,0,1934,0,1
671,1916,0,0,20,126,0,967,0,0,2902,0,1896,0,1
672,400,0,0,4,30,0,204,0,0,604,0,398,0,1
673,800,0,0,8,42,0,409,0,0,1204,0,794,0,1
674,800,0,0,8,84,0,411,0,0,1217,0,792,0,1
675,0,0,0,0,0,0,0,0,0,4,0,0,0,1
676,0,0,0,0,0,0,0,0,0,2,0,0,0,1
677,0,0,0,0,0,0,0,0,0,2,0,0,0,1
678,0,0,0,0,0,0,0,0,0,2,0,0,0,1
679,0,0,0,0,0,0,0,0,0,4,0,0,0,1
680,0,0,0,0,0,0,0,0,0,4,0,0,0,1
681,0,0,0,0,0,0,0,0,0,2,0,0,0,1
682,0,0,0,0,0,0,0,0,0,2,0,0,0,1
683,0,0,0,0,0,0,0,0,0,2,0,0,0,1
684,0,0,0,0,0,0,0,0,0,4,0,0,0,1
685,0,0,0,0,0,0,0,0,0,4,0,0,0,1
686,0,0,0,0,0,0,0,0,0,2,0,0,0,1
687,0,0,0,0,0,0,0,0,0,2,0,0,0,1
688,0,0,0,0,0,0,0,0,0,2,0,0,0,1
689,0,0,0,0,0,0,0,0,0,4,0,0,0,1
690,0,0,0,0,0,0,0,0,0,4,0,0,0,1
691,0,0,0,0,0,0,0,0,0,2,0,0,0,1
692,0,0,0,0,0,0,0,0,0,2,0,0,0,1
693,0,0,0,0,0,0,0,0,0,2,0,0,0,1
694,0,0,0,0,0,0,0,0,0,4,0,0,0,1
695,0,0,0,0,0,0,0,0,0,4,0,0,0,1
696,0,0,0,0,0,0,0,0,0,2,0,0,0,1
697,0,0,0,0,0,0,0,0,0,2,0,0,0,1
698,0,0,0,0,0,0,0,0,0,2,0,0,0,1
699,0,0,0,0,0,0,0,0,0,4,0,0,0,1
700,0,0,0,0,0,0,0,0,0,4,0,0,0,1
701,0,0,0,0,0,0,0,0,0,2,0,0,0,1
702,0,0,0,0,0,0,0,0,0,2,0,0,0,1
703,0,0,0,0,0,0,0,0,0,2,0,0,0,1
704,0,0,0,0,0,0,0,0,0,4,0,0,0,1
705,0,0,0,0,0,0,0,0,0,4,0,0,0,1
706,0,0,0,0,0,0,0,0,0,2,0,0,0,1
707,0,0,0,0,0,0,0,0,0,2,0,0,0,1
708,0,0,0,0,0,0,0,0,0,2,0,0,0,1
709,0,0,0,0,0,0,0,0,0,4,0,0,0,1
710,0,0,0,0,0,0,0,0,0,4,0,0,0,1
711,0,0,0,0,0,0,0,0,0,2,0,0,0,1
712,0,0,0,0,0,0,0,0,0,2,0,0,0,1
713,0,0,0,0,0,0,0,0,0,2,0,0,0,1
714,0,0,0,0,0,0,0,0,0,4,0,0,0,1
715,0,0,0,0,0,0,0,0,0,4,0,0,0,1
716,0,0,0,0,0,0,0,0,0,2,0,0,0,1
717,0,0,0,0,0,0,0,0,0,2,0,0,0,1
718,0,0,0,0,0,0,0,0,0,4,0,0,0,1
719,0,0,0,0,0,0,0,0,0,4,0,0,0,1
720,1594,0,0,16,96,0,798,0,0,2421,0,1740,0,1
721,1526,0,0,16,96,0,771,0,0,2311,0,1606,0,1
722,1594,0,0,16,94,0,803,0,0,2413,0,1732,0,1
723,1626,0,0,18,104,0,821,0,0,2468,0,1616,0,1
724,1626,0,0,18,114,0,821,0,0,2468,0,1622,0,1
725,1626,0,0,18,116,0,821,0,0,2467,0,1624,0,1
726,1172,0,0,10,64,0,594,0,0,1775,0,1166,0,1
727,1772,0,0,16,112,0,903,0,0,2680,0,1774,0,1
728,1956,0,0,18,90,0,987,0,0,2952,0,1952,0,1
729,962,0,0,10,62,0,485,0,0,1460,0,958,0,1
730,1962,0,0,20,104,0,989,0,0,2963,0,1960,0,1
731,1934,0,0,20,108,0,983,0,0,2920,0,1920,0,1
732,1000,0,0,10,108,0,509,0,0,1532,0,994,0,1
733,1874,0,0,20,120,0,945,0,0,2840,0,1872,0,1
734,2000,0,0,20,114,0,1008,0,0,3030,0,1994,0,1
735,1000,0,0,10,64,0,504,0,0,1517,0,994,0,1
736,1905,0,0,20,94,0,961,0,0,2877,0,1896,0,1
737,2000,0,0,20,110,0,1016,0,0,3019,0,1992,0,1
738,1000,0,0,10,86,0,504,0,0,1528,0,1006,0,1
739,1854,0,0,20,98,0,936,0,0,2802,0,1848,0,1
740,2000,0,0,20,92,0,1008,0,0,3017,0,1992,0,1
741,1000,0,0,10,86,0,509,0,0,1521,0,994,0,1
742,1874,0,0,20,148,0,954,0,0,2845,0,1872,0,1
743,2000,0,0,20,116,0,1008,0,0,3030,0,1988,0,1
744,978,0,0,8,84,0,493,0,0,1495,0,980,0,1
745,1946,0,0,18,96,0,981,0,0,2936,0,1936,0,1
746,1979,0,0,18,94,0,997,0,0,2986,0,1972,0,1
747,1000,0,0,10,88,0,509,0,0,1519,0,996,0,1
748,1851,0,0,20,124,0,934,0,0,2807,0,1842,0,1
749,2000,0,0,20,88,0,1008,0,0,3017,0,1992,0,1
750,1000,0,0,10,86,0,504,0,0,1530,0,996,0,1
751,1874,0,0,20,126,0,953,0,0,2831,0,1866,0,1
752,2000,0,0,20,138,0,1016,0,0,3032,0,1994,0,1
753,950,0,0,10,88,0,480,0,0,1455,0,942,0,1
754,1951,0,0,20,116,0,984,0,0,2956,0,1942,0,1
755,1952,0,0,20,90,0,984,0,0,2947,0,1938,0,1
756,1000,0,0,10,88,0,508,0,0,1519,0,992,0,1
757,1846,0,0,20,118,0,939,0,0,2788,0,1829,0,1
758,2000,0,0,20,114,0,1008,0,0,3028,0,1992,0,1
759,1000,0,0,10,86,0,505,0,0,1530,0,992,0,1
760,1890,0,0,20,104,0,953,0,0,2863,0,1881,0,1
761,2000,0,0,20,110,0,1016,0,0,3021,0,1996,0,1
762,960,0,0,10,114,0,488,0,0,1474,0,956,0,1
763,1960,0,0,20,116,0,988,0,0,2971,0,1966,0,1
764,1909,0,0,20,112,0,962,0,0,2892,0,1906,0,1
765,1000,0,0,10,64,0,505,0,0,1517,0,996,0,1
766,1895,0,0,20,104,0,964,0,0,2861,0,1888,0,1
767,2000,0,0,20,118,0,1016,0,0,3019,0,1996,0,1
768,1000,0,0,10,86,0,504,0,0,1530,0,1000,0,1
769,1880,0,0,20,112,0,948,0,0,2851,0,1882,0,1
770,2000,0,0,20,120,0,1008,0,0,3030,0,1992,0,1
771,967,0,0,10,106,0,493,0,0,1482,0,964,0,1
772,1968,0,0,20,150,0,1000,0,0,2985,0,1960,0,1
773,1890,0,0,20,124,0,952,0,0,2863,0,1870,0,1
774,1000,0,0,10,66,0,504,0,0,1517,0,990,0,1
775,1894,0,0,20,110,0,956,0,0,2862,0,1890,0,1
776,2000,0,0,20,114,0,1016,0,0,3019,0,2002,0,1
777,1000,0,0,10,108,0,509,0,0,1532,0,1000,0,1
778,1873,0,0,20,120,0,945,0,0,2840,0,1868,0,1
779,2000,0,0,20,112,0,1008,0,0,3030,0,1996,0,1
780,990,0,0,10,64,0,499,0,0,1504,0,994,0,1
781,1876,0,0,18,132,0,954,0,0,2847,0,1872,0,1
782,1966,0,0,20,128,0,1001,0,0,2981,0,1970,0,1
783,1000,0,0,10,86,0,504,0,0,1528,0,994,0,1
784,1898,0,0,20,102,0,958,0,0,2867,0,1894,0,1
785,2000,0,0,20,90,0,1008,0,0,3017,0,1994,0,1
786,1000,0,0,10,86,0,509,0,0,1521,0,992,0,1
787,1874,0,0,20,146,0,953,0,0,2842,0,1872,0,1
788,2000,0,0,20,120,0,1008,0,0,3030,0,1994,0,1
789,996,0,0,10,84,0,502,0,0,1523,0,992,0,1
790,1852,0,0,18,124,0,942,0,0,2800,0,1846,0,1
791,1984,0,0,20,140,0,1008,0,0,3008,0,1970,0,1
792,1000,0,0,10,86,0,509,0,0,1519,0,990,0,1
793,1903,0,0,20,104,0,960,0,0,2882,0,1888,0,1
794,2000,0,0,20,88,0,1008,0,0,3017,0,1992,0,1
795,994,0,0,8,62,0,501,0,0,1508,0,988,0,1
796,1904,0,0,18,106,0,969,0,0,2879,0,1894,0,1
797,1996,0,0,18,132,0,1014,0,0,3024,0,1980,0,1
798,1000,0,0,10,86,0,505,0,0,1530,0,994,0,1
799,1840,0,0,20,120,0,928,0,0,2790,0,1835,0,1
800,2000,0,0,20,116,0,1016,0,0,3021,0,1990,0,1
801,1000,0,0,10,86,0,508,0,0,1519,0,994,0,1
802,1887,0,0,20,118,0,960,0,0,2852,0,1884,0,1
803,2000,0,0,20,110,0,1008,0,0,3028,0,1994,0,1
804,950,0,0,10,64,0,479,0,0,1441,0,940,0,1
805,1948,0,0,20,122,0,990,0,0,2943,0,1946,0,1
806,1950,0,0,20,124,0,991,0,0,2943,0,1944,0,1
807,1000,0,0,10,108,0,508,0,0,1532,0,1000,0,1
808,1826,0,0,20,126,0,922,0,0,2771,0,1840,0,1
809,2000,0,0,20,118,0,1008,0,0,3030,0,1990,0,1
810,1000,0,0,10,68,0,505,0,0,1520,0,1000,0,1
811,1884,0,0,20,108,0,959,0,0,2849,0,1886,0,1
812,2000,0,0,20,130,0,1016,0,0,3023,0,1996,0,1
813,960,0,0,10,68,0,484,0,0,1460,0,952,0,1
814,1960,0,0,20,96,0,988,0,0,2962,0,1956,0,1
815,1936,0,0,18,114,0,984,0,0,2924,0,1928,0,1
816,1000,0,0,10,112,0,509,0,0,1531,0,994,0,1
817,1828,0,0,20,148,0,930,0,0,2775,0,1812,0,1
818,2000,0,0,20,126,0,1008,0,0,3029,0,1986,0,1
819,1000,0,0,10,68,0,504,0,0,1520,0,990,0,1
820,1898,0,0,20,96,0,958,0,0,2869,0,1880,0,1
821,2000,0,0,20,118,0,1016,0,0,3022,0,2004,0,1
822,974,0,0,10,112,0,496,0,0,1494,0,968,0,1
823,1974,0,0,20,94,0,995,0,0,2980,0,1968,0,1
824,1900,0,0,20,102,0,959,0,0,2870,0,1892,0,1
825,1000,0,0,10,90,0,509,0,0,1520,0,992,0,1
826,1875,0,0,20,138,0,954,0,0,2845,0,1870,0,1
827,2000,0,0,20,126,0,1008,0,0,3029,0,1986,0,1
828,1000,0,0,10,90,0,504,0,0,1531,0,1004,0,1
829,1896,0,0,20,96,0,957,0,0,2864,0,1892,0,1
830,2000,0,0,20,94,0,1008,0,0,3020,0,1986,0,1
831,964,0,0,10,92,0,491,0,0,1469,0,966,0,1
832,1962,0,0,20,108,0,989,0,0,2974,0,1964,0,1
833,1918,0,0,20,94,0,967,0,0,2895,0,1926,0,1
834,1000,0,0,10,88,0,504,0,0,1528,0,992,0,1
835,1876,0,0,20,112,0,954,0,0,2838,0,1878,0,1
836,2000,0,0,20,138,0,1016,0,0,3031,0,1988,0,1
837,998,0,0,10,70,0,504,0,0,1520,0,1006,0,1
838,1884,0,0,20,106,0,951,0,0,2855,0,1900,0,1
839,1998,0,0,20,94,0,1007,0,0,3018,0,2030,0,1
840,962,0,0,10,90,0,490,0,0,1465,0,958,0,1
841,1960,0,0,20,120,0,996,0,0,2964,0,1944,0,1
842,1920,0,0,20,116,0,968,0,0,2911,0,1907,0,1
843,1000,0,0,10,90,0,505,0,0,1529,0,994,0,1
844,1884,0,0,20,104,0,951,0,0,2856,0,1876,0,1
845,2000,0,0,20,120,0,1016,0,0,3020,0,1998,0,1
846,1000,0,0,10,90,0,508,0,0,1522,0,1002,0,1
847,1888,0,0,20,90,0,952,0,0,2854,0,1878,0,1
848,2000,0,0,20,118,0,1008,0,0,3031,0,2004,0,1
849,1000,0,0,10,68,0,505,0,0,1520,0,996,0,1
850,1848,0,0,20,106,0,941,0,0,2793,0,1842,0,1
851,2000,0,0,20,126,0,1016,0,0,3023,0,1988,0,1
852,1000,0,0,10,90,0,504,0,0,1529,0,1000,0,1
853,1886,0,0,20,108,0,951,0,0,2858,0,1870,0,1
854,2000,0,0,20,122,0,1008,0,0,3028,0,1992,0,1
855,1000,0,0,10,68,0,505,0,0,1520,0,990,0,1
856,1898,0,0,20,116,0,965,0,0,2866,0,1886,0,1
